# idx,x,y (pixel values). Lines starting with # are comments.
# Values extracted from CSV interpolation results (20260206).
116,162.0,279.0
123,162.0,304.9
187,168.6,325.6
207,177.6,346.6
192,186.0,367.8
214,195.5,388.5
170,205.9,408.9
176,222.1,425.1
148,240.1,437.0
152,266.0,437.0
