# idx,x,y (pixel values). Lines starting with # are comments.
# Values below are set from "blend" results (20260122).
234,188.65,252.95
227,170.38,256.52
137,171.74,277.53
132,192.92,299.01
58,196.25,325.65
172,198.67,349.16
136,201.47,368.72
150,209.43,386.47
149,217.58,401.06
176,227.76,415.88
148,242.73,428.99
152,266.00,437.00
